nan,nan,nan,-13.27723,-13.1193,-12.88691,-12.58882,-12.23343,-11.82879,-11.38262,-10.90229,-10.39482,-9.866911,-9.324932,-8.774916,-8.222575,-7.673295,-7.132145,-6.603872,-6.092908,-5.603371,-5.139067,-4.703489,-4.299824,-3.930949,-3.599437,-3.307552,-3.057258,-2.850212,-2.687771,-2.57099,-2.50062,-2.477113,-2.50062,-2.57099,-2.687771,-2.850212,-3.057258,-3.307552,-3.599437,-3.930949,-4.299824,-4.703489,-5.139067,-5.603371,-6.092908,-6.603872,-7.132145,-7.673295,-8.222575,-8.774916,-9.324932,-9.866911,-10.39482,-10.90229,-11.38262,-11.82879,-12.23343,-12.58882,-12.88691,-13.1193,-13.27723,nan,nan
nan,nan,nan,-13.23397,-13.04789,-12.78841,-12.46427,-12.08387,-11.65526,-11.18615,-10.68389,-10.15552,-9.607716,-9.046845,-8.478937,-7.909699,-7.344512,-6.78844,-6.246226,-5.722299,-5.220774,-4.745451,-4.299824,-3.887074,-3.510078,-3.171404,-2.873317,-2.617778,-2.406442,-2.240667,-2.121503,-2.049705,-2.025722,-2.049705,-2.121503,-2.240667,-2.406442,-2.617778,-2.873317,-3.171404,-3.510078,-3.887074,-4.299824,-4.745451,-5.220774,-5.722299,-6.246226,-6.78844,-7.344512,-7.909699,-8.478937,-9.046845,-9.607716,-10.15552,-10.68389,-11.18615,-11.65526,-12.08387,-12.46427,-12.78841,-13.04789,-13.23397,nan,nan
nan,nan,nan,-13.18731,-12.97606,-12.69235,-12.34492,-11.94217,-11.49213,-11.00251,-10.48065,-9.933589,-9.367999,-8.790239,-8.206336,-7.621991,-7.042582,-6.47317,-5.918493,-5.382977,-4.870734,-4.385561,-3.930949,-3.510078,-3.125821,-2.780745,-2.477113,-2.216884,-2.001714,-1.832956,-1.711663,-1.638588,-1.614179,-1.638588,-1.711663,-1.832956,-2.001714,-2.216884,-2.477113,-2.780745,-3.125821,-3.510078,-3.930949,-4.385561,-4.870734,-5.382977,-5.918493,-6.47317,-7.042582,-7.621991,-8.206336,-8.790239,-9.367999,-9.933589,-10.48065,-11.00251,-11.49213,-11.94217,-12.34492,-12.69235,-12.97606,-13.18731,nan,nan
nan,nan,-13.29263,-13.1399,-12.90646,-12.60139,-12.23343,-11.81096,-11.34203,-10.83432,-10.29519,-9.731641,-9.150368,-8.557716,-7.959709,-7.362044,-6.770097,-6.188921,-5.623256,-5.077522,-4.555828,-4.06197,-3.599437,-3.171404,-2.780745,-2.430024,-2.121503,-1.857139,-1.638588,-1.467201,-1.344031,-1.269829,-1.245045,-1.269829,-1.344031,-1.467201,-1.638588,-1.857139,-2.121503,-2.430024,-2.780745,-3.171404,-3.599437,-4.06197,-4.555828,-5.077522,-5.623256,-6.188921,-6.770097,-7.362044,-7.959709,-8.557716,-9.150368,-9.731641,-10.29519,-10.83432,-11.34203,-11.81096,-12.23343,-12.60139,-12.90646,-13.1399,-13.29263,nan
nan,nan,-13.26676,-13.09408,-12.84142,-12.51785,-12.1321,-11.69257,-11.20727,-10.68389,-10.12979,-9.551975,-8.957118,-8.351569,-7.741347,-7.132145,-6.529337,-5.937973,-5.36279,-4.808206,-4.278327,-3.776947,-3.307552,-2.873317,-2.477113,-2.121503,-1.808748,-1.540802,-1.319322,-1.145658,-1.020862,-0.9456843,-0.9205751,-0.9456843,-1.020862,-1.145658,-1.319322,-1.540802,-1.808748,-2.121503,-2.477113,-2.873317,-3.307552,-3.776947,-4.278327,-4.808206,-5.36279,-5.937973,-6.529337,-7.132145,-7.741347,-8.351569,-8.957118,-9.551975,-10.12979,-10.68389,-11.20727,-11.69257,-12.1321,-12.51785,-12.84142,-13.09408,-13.26676,nan
nan,nan,-13.24143,-13.05188,-12.78296,-12.44375,-12.04297,-11.58899,-11.08985,-10.55323,-9.986472,-9.396584,-8.790239,-8.173783,-7.55323,-6.934272,-6.322278,-5.722299,-5.139067,-4.576998,-4.040196,-3.532455,-3.057258,-2.617778,-2.216884,-1.857139,-1.540802,-1.269829,-1.045871,-0.8702816,-0.7441105,-0.6681078,-0.6427236,-0.6681078,-0.7441105,-0.8702816,-1.045871,-1.269829,-1.540802,-1.857139,-2.216884,-2.617778,-3.057258,-3.532455,-4.040196,-4.576998,-5.139067,-5.722299,-6.322278,-6.934272,-7.55323,-8.173783,-8.790239,-9.396584,-9.986472,-10.55323,-11.08985,-11.58899,-12.04297,-12.44375,-12.78296,-13.05188,-13.24143,nan
nan,nan,-13.21836,-13.01502,-12.73281,-12.3808,-11.96772,-11.50194,-10.99148,-10.44402,-9.866911,-9.267151,-8.651412,-8.026035,-7.397033,-6.770097,-6.150592,-5.543566,-4.953751,-4.385561,-3.843099,-3.330155,-2.850212,-2.406442,-2.001714,-1.638588,-1.319322,-1.045871,-0.8198882,-0.6427236,-0.5154278,-0.4387505,-0.4131415,-0.4387505,-0.5154278,-0.6427236,-0.8198882,-1.045871,-1.319322,-1.638588,-2.001714,-2.406442,-2.850212,-3.330155,-3.843099,-4.385561,-4.953751,-5.543566,-6.150592,-6.770097,-7.397033,-8.026035,-8.651412,-9.267151,-9.866911,-10.44402,-10.99148,-11.50194,-11.96772,-12.3808,-12.73281,-13.01502,-13.21836,nan
nan,nan,-13.19897,-12.9849,-12.69235,-12.33039,-11.90775,-11.43279,-10.91353,-10.35765,-9.77249,-9.165055,-8.542011,-7.909699,-7.274128,-6.640988,-6.015643,-5.403139,-4.808206,-4.235257,-3.688393,-3.171404,-2.687771,-2.240667,-1.832956,-1.467201,-1.145658,-0.8702816,-0.6427236,-0.4643346,-0.3361644,-0.2589626,-0.2331787,-0.2589626,-0.3361644,-0.4643346,-0.6427236,-0.8702816,-1.145658,-1.467201,-1.832956,-2.240667,-2.687771,-3.171404,-3.688393,-4.235257,-4.808206,-5.403139,-6.015643,-6.640988,-7.274128,-7.909699,-8.542011,-9.165055,-9.77249,-10.35765,-10.91353,-11.43279,-11.90775,-12.33039,-12.69235,-12.9849,-13.19897,nan
nan,nan,-13.18433,-12.96261,-12.66268,-12.29361,-11.86414,-11.38262,-10.85708,-10.29519,-9.704281,-9.091365,-8.463105,-7.82584,-7.185579,-6.548008,-5.918493,-5.302077,-4.703489,-4.127141,-3.577135,-3.057258,-2.57099,-2.121503,-1.711663,-1.344031,-1.020862,-0.7441105,-0.5154278,-0.3361644,-0.2073698,-0.1297934,-0.1038846,-0.1297934,-0.2073698,-0.3361644,-0.5154278,-0.7441105,-1.020862,-1.344031,-1.711663,-2.121503,-2.57099,-3.057258,-3.577135,-4.127141,-4.703489,-5.302077,-5.918493,-6.548008,-7.185579,-7.82584,-8.463105,-9.091365,-9.704281,-10.29519,-10.85708,-11.38262,-11.86414,-12.29361,-12.66268,-12.96261,-13.18433,nan
nan,nan,-13.17524,-12.94892,-12.64456,-12.27124,-11.83767,-11.35222,-10.8229,-10.2574,-9.663049,-9.046845,-8.415457,-7.77522,-7.132145,-6.491917,-5.8599,-5.241137,-4.640357,-4.06197,-3.510078,-2.988468,-2.50062,-2.049705,-1.638588,-1.269829,-0.9456843,-0.6681078,-0.4387505,-0.2589626,-0.1297934,-0.05199224,-0.0260086,-0.05199224,-0.1297934,-0.2589626,-0.4387505,-0.6681078,-0.9456843,-1.269829,-1.638588,-2.049705,-2.50062,-2.988468,-3.510078,-4.06197,-4.640357,-5.241137,-5.8599,-6.491917,-7.132145,-7.77522,-8.415457,-9.046845,-9.663049,-10.2574,-10.8229,-11.35222,-11.83767,-12.27124,-12.64456,-12.94892,-13.17524,nan
